Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,0,847,9002,0.9232991233486679,0.9139135052733396,189,4027,4027,1.0,0.9532150189162053,0.7514028917252834,0.7109655979737469
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,8000,0.9053481168244857,0.9040236786145938,189,4027,4027,1.0,0.9537605791872579,0.738906033550548,0.7002892351679647
diffusion_cosine_similarity,ml-100k/u.data,3,327,7900,0.8981184728476924,0.9054480387708377,188,3586,3586,1.0,0.9537226921241617,0.7314554509009173,0.7068163596572555
diffusion_cosine_similarity,ml-100k/u.data,1,211,8003,0.9253336401342348,0.9186935753883559,189,4215,4215,1.0,0.9532069227390004,0.7552563570234304,0.714885438981647
regular_cosine_similarity,ml-100k/u.data,1,3,1787,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_cosine_similarity,ml-100k/u.data,2,183,8062,0.9474693527776525,0.9548009064379438,189,4071,4071,1.0,0.9495808850089346,0.7763270785429038,0.7531259105275341
diffusion_norm_cosine_similarity,ml-100k/u.data,2,1,7914,0.9427066693131926,0.9414873865639692,189,4071,4071,1.0,0.9502543115309566,0.7712234381006658,0.7429279250129686
diffusion_cosine_similarity,ml-100k/u.data,4,197,7944,0.9376556846682977,0.9379711836604704,188,4101,4101,1.0,0.9508798820519664,0.7672684083226051,0.733779000226746
regular_cosine_similarity,ml-100k/u.data,4,2,1738,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7520,0.8857008452962701,0.8910327193633985,188,3586,3586,1.0,0.9569446823349377,0.722039433619072,0.6955608254265494
regular_cosine_similarity,ml-100k/u.data,2,2,1728,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_norm_cosine_similarity,ml-100k/u.data,1,2,8052,0.9089717491206205,0.9091514585789867,189,4215,4215,1.0,0.9550617483503157,0.7405909640458146,0.7052586077458833
regular_cosine_similarity,ml-100k/u.data,0,2,1795,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,3,1707,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7866,0.9283582741342328,0.9263282842040096,188,4101,4101,1.0,0.954361223329797,0.7579258521600329,0.7243979033609926
