Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,1,757,8936,0.9116962877805173,0.9092525739450561,189,4215,4215,1.0,0.9558347533367758,0.7410534675069165,0.7047640945623429
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7934,0.910430633410645,0.9114027027167729,189,4215,4215,1.0,0.9536008814659843,0.7401955477930326,0.7048843884784843
diffusion_cosine_similarity,ml-100k/u.data,2,311,7909,0.9462723471948634,0.949499424777075,189,4071,4071,1.0,0.9506740007931048,0.7753704374318032,0.747982991313496
regular_cosine_similarity,ml-100k/u.data,2,3,1768,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,290,7608,0.8913406721179823,0.8936594645635374,188,3586,3586,1.0,0.9555923802266414,0.7271915013293526,0.699741213919296
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7480,0.8859333652152118,0.8888709870205475,188,3586,3586,1.0,0.957271623024922,0.7214742064634672,0.6940415478414567
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7919,0.9464768704941432,0.9441083816061095,189,4071,4071,1.0,0.9491762552362026,0.7734234419720298,0.7424889412039897
diffusion_cosine_similarity,ml-100k/u.data,4,191,7883,0.9318224873431157,0.9276071043765303,188,4101,4101,1.0,0.9535158583172507,0.7613326925726364,0.7259631311991288
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7767,0.9266860735384458,0.924617303547136,188,4101,4101,1.0,0.9545270609232107,0.7573182934160735,0.7243055835498723
diffusion_cosine_similarity,ml-100k/u.data,0,166,7801,0.9147958000969607,0.9077460248023471,189,4027,4027,1.0,0.9538019297905947,0.7454037773063902,0.705624274578166
regular_cosine_similarity,ml-100k/u.data,1,2,1647,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
diffusion_norm_cosine_similarity,ml-100k/u.data,0,2,7893,0.9093830789857391,0.9047299561225834,189,4027,4027,1.0,0.9542787053789334,0.740272358321157,0.7025536775675516
regular_cosine_similarity,ml-100k/u.data,4,2,1615,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,3,1600,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1578,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
