Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
diffusion_cosine_similarity,ml-100k/u.data,2,732,9580,0.9531360143816305,0.9557716769340171,189,4071,4071,1.0,0.9469007097044784,0.7815492453932863,0.753940310037067
diffusion_cosine_similarity,ml-100k/u.data,0,313,7940,0.9148662970925712,0.9109726517710701,189,4027,4027,1.0,0.9525926666465079,0.7479173199962278,0.7107681581159658
diffusion_norm_cosine_similarity,ml-100k/u.data,0,1,7946,0.9064565637862614,0.9002981896265487,189,4027,4027,1.0,0.9554199262341281,0.7392104434551491,0.6997776049729786
regular_cosine_similarity,ml-100k/u.data,2,3,1773,0.9553599225616319,0.9502751170671234,189,4071,4071,1.0,0.94808869341913,0.7811892153485486,0.747741983020177
diffusion_cosine_similarity,ml-100k/u.data,3,276,7567,0.891254011111719,0.8985717066297907,188,3586,3586,1.0,0.955180138866229,0.7286024089631195,0.7055116644908871
diffusion_norm_cosine_similarity,ml-100k/u.data,3,1,7596,0.8806619243223394,0.8866132812804605,188,3586,3586,1.0,0.958386605040716,0.7156034599807655,0.6909786854071343
diffusion_norm_cosine_similarity,ml-100k/u.data,2,2,7705,0.9430827801615514,0.9411776445802862,189,4071,4071,1.0,0.9489113644448538,0.7706556365820266,0.7398608466703936
diffusion_cosine_similarity,ml-100k/u.data,4,204,7775,0.9347432320682156,0.9339989160287208,188,4101,4101,1.0,0.9533667695294685,0.7636703431254825,0.7318900738669778
diffusion_norm_cosine_similarity,ml-100k/u.data,4,1,7833,0.9231401311958519,0.9213248070953871,188,4101,4101,1.0,0.9553294189967053,0.7534801021219475,0.7211562880649164
diffusion_cosine_similarity,ml-100k/u.data,1,174,7931,0.9181707829629119,0.9178046184570879,189,4215,4215,1.0,0.9517546896879874,0.7473032589404076,0.7122517129021826
diffusion_norm_cosine_similarity,ml-100k/u.data,1,1,7824,0.9083648377566718,0.9074251630238298,189,4215,4215,1.0,0.9543909700626965,0.7379711412016993,0.702300411071205
regular_cosine_similarity,ml-100k/u.data,1,3,1713,0.9137210082756725,0.9161743697111441,189,4215,4215,1.0,0.9525142001336674,0.7426879940302352,0.7086276868568634
regular_cosine_similarity,ml-100k/u.data,4,2,1626,0.9300526084531079,0.9280773441583317,188,4101,4101,1.0,0.9532137782999512,0.7608633485282974,0.7273768021493113
regular_cosine_similarity,ml-100k/u.data,0,3,1589,0.914227907511881,0.9102981497129194,189,4027,4027,1.0,0.9546300541633659,0.7439711089808588,0.7070411581370712
regular_cosine_similarity,ml-100k/u.data,3,2,1516,0.8897392279857972,0.8916354325250159,188,3586,3586,1.0,0.9574259856999706,0.7263053109544247,0.6978414922432775
