alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.280281509468,0.918039806947,0.260258337122,0.916899548347,0.271876241925,0.74896159576,0.273921351442,0.715759820203,0.231593303704,0.918488040373,0.254671893569,0.916950904081,0.269423853583,0.74898001328,0.292287980672,0.715627998162,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1.0,0.186986934786,0.918898695586,0.179667565508,0.91764041293,0.159886370131,0.7498026435,0.140207495443,0.716719519079,0.367105808422,0.917240484969,0.423961830008,0.915394635098,0.417593517026,0.747867254076,0.471767924041,0.714339824259,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
2.0,0.0479906268979,0.920178323584,-0.0649055971034,0.91988875465,-0.00802231164188,0.751063643401,-0.113495302804,0.718540409579,0.495271686348,0.91606056409,0.596168675023,0.913811551206,0.591001401814,0.746564954973,0.678381961626,0.712856901954,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
3.0,-0.162175942942,0.922113159342,-0.281920675062,0.92188375708,-0.202572293063,0.752524720368,-0.311557339648,0.719961951966,0.579577547482,0.915284427358,0.683992897782,0.91300419008,0.679596131238,0.745899605547,0.778581181626,0.712137746276,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
4.0,-0.280843873234,0.923205640202,-0.412216299267,0.923081554437,-0.308175950855,0.753317807424,-0.411547153127,0.720679604679,0.620296757617,0.914909558111,0.715659805242,0.912713078707,0.708699297931,0.745681039777,0.793070271131,0.712033754339,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
5.0,-0.370597053646,0.924031926053,-0.503538839781,0.923921075322,-0.391618851869,0.753944466444,-0.507662905888,0.721369452258,0.637088629209,0.91475496876,0.702519681379,0.912833874825,0.710264906019,0.745669282007,0.788313367973,0.712067895862,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
6.0,-0.461012004095,0.924864304292,-0.58521619464,0.924671928779,-0.497813261245,0.754741990064,-0.595046199282,0.721996624721,0.597039552253,0.915123668626,0.641819635616,0.91339188554,0.658907883418,0.74605497499,0.723026371983,0.712536477492,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
7.0,-0.556047302385,0.925739218383,-0.674696582777,0.925494514902,-0.577841627109,0.755343005809,-0.681762732236,0.722619011672,0.596930108621,0.915124676186,0.599754603854,0.913778586046,0.633579303339,0.746245193487,0.680775237709,0.712839724794,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
8.0,-0.591268952828,0.926063475989,-0.74009734297,0.926095738913,-0.605545274565,0.755551061142,-0.738440002512,0.723025799078,0.522583783916,0.915809123421,0.518812849723,0.914522677184,0.535237732906,0.74698374202,0.584074416323,0.713533771561,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
9.0,-0.647883363917,0.926584679657,-0.810515967094,0.926743091749,-0.664989368429,0.755997488306,-0.809818373726,0.723538100081,0.495940243557,0.916054409218,0.434811995509,0.915294890386,0.485765717506,0.747355278535,0.502700322975,0.714117814444,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10.0,-0.699367903901,0.927058656698,-0.871017216739,0.927299274947,-0.712300033639,0.756352793008,-0.8626500167,0.723917286426,0.409423597898,0.916850898878,0.347129864734,0.916100945272,0.403919397298,0.747969947179,0.409678685716,0.714785454757,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
100.0,-1.40979617098,0.93359900237,-1.81571602892,0.935983816332,-1.42522091626,0.761706853044,-1.862356529,0.731092438234,-3.09572134288,0.949119968962,-3.42038043652,0.950735369184,-3.6834669128,0.778666357158,-3.99771951293,0.746418489816,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1000.0,-1.57056591729,0.935079081025,-2.05881567977,0.938218612175,-1.6004706804,0.763022984723,-2.11591074342,0.73291226231,-3.42064658347,0.952111296151,-3.7486278577,0.953752921738,-4.06134243018,0.781504215125,-4.4197093558,0.749447219895,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10000000000.0,-1.59446526375,0.935299103221,-2.08814574119,0.938488241108,-1.64133030651,0.763329841903,-2.14726683389,0.733137313069,-3.45069728449,0.952387948955,-3.75950616396,0.953852925146,-3.97993955199,0.780892876745,-4.4831139189,0.749902290818,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
