Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,1988,83,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,1988,84,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,1995,82,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,1996,82,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,31776,94,0.8730584191362812,0.9094850898027801,188,1880,1880,1.0,0.9564231822122439,0.714877921970777,0.7148779219707768
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,31778,93,0.9076241545719506,0.9447618278743855,189,1890,1890,1.0,0.9546141104902098,0.7488822563827127,0.7488822563827124
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,31790,90,0.8641575377729179,0.9027164676367965,188,1880,1880,1.0,0.9519784131620664,0.712400726292506,0.7124007262925062
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,31801,93,0.8974429427607791,0.931265282038677,189,1890,1890,1.0,0.9523318049290047,0.736160632267501,0.7361606322675006
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2249,102,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,32572,108,0.8864220590031832,0.9223784658598115,188,1880,1880,1.0,0.9538484799690838,0.7280584273568722,0.7280584273568724
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,32587,93,0.8787382415589661,0.9179798823645859,188,1880,1880,1.0,0.946895161481277,0.7266817692145995,0.7266817692145997
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,32604,96,0.9300308352244746,0.9703916931053854,189,1890,1890,1.0,0.9501559741448692,0.7692717558851594,0.7692717558851598
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,32030,77,0.8771244418468185,0.9183408508117142,189,1890,1890,1.0,0.9537468991679892,0.7253686831462599,0.7253686831462604
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,27752,84,0.9108348139240042,0.944556456677231,189,1890,1890,1.0,0.9529165225735109,0.7471997885541705,0.7471997885541704
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,27395,75,0.8869540251785099,0.929523731046252,189,1890,1890,1.0,0.9505407519296036,0.7308615448648528,0.7308615448648531
