Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_useruserCF,ml-100k/u.data,3,175,2006,0.9020160862309058,0.9390302630625854,188,1880,1880,1.0,0.9513020568964553,0.7382439517439086,0.7382439517439084
regular_cosine_similarity_useruserCF,ml-100k/u.data,1,166,2030,0.9149457448910804,0.9466162858613552,189,1890,1890,1.0,0.9499121747803987,0.7550620289209856,0.7550620289209856
regular_cosine_similarity_useruserCF,ml-100k/u.data,0,164,2033,0.8806686719152852,0.9205655979828742,189,1890,1890,1.0,0.9536512670498671,0.7277791422000917,0.7277791422000917
regular_cosine_similarity_useruserCF,ml-100k/u.data,4,176,2046,0.8816025990261699,0.919958413287741,188,1880,1880,1.0,0.9491912454694266,0.7260089763059927,0.7260089763059921
regular_cosine_similarity_useruserCF,ml-100k/u.data,2,183,1727,0.9277091836695748,0.9654893459984337,189,1890,1890,1.0,0.9499403316816886,0.7609044875078252,0.760904487507825
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,3,0,37148,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,0,0,38471,0.8934953968106177,0.9312806484103604,189,1890,1890,1.0,0.9510981303687572,0.7361737441076907,0.7361737441076907
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,1,0,38557,0.9278082247220459,0.9621942219525714,189,1890,1890,1.0,0.9474880207068656,0.763010421601695,0.7630104216016947
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,2,0,38726,0.9289452246664914,0.9687411106948959,189,1890,1890,1.0,0.9495729183909459,0.7646017871725681,0.7646017871725682
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,3,0,36468,0.919687711385295,0.9610475854745445,188,1880,1880,1.0,0.9443533643097438,0.7612650804744397,0.76126508047444
diffusion_norm_cosine_similarity_useruserCF,ml-100k/u.data,4,1,39885,0.8846902620871426,0.9233787127564365,188,1880,1880,1.0,0.9481611464728903,0.7276192276337169,0.727619227633717
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,1,0,39948,0.9217827702966863,0.954625495094548,189,1890,1890,1.0,0.9465877834919924,0.7610690923113341,0.7610690923113342
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,2,0,39861,0.923467147546006,0.9596576087446731,189,1890,1890,1.0,0.9522765842193385,0.7584276043162043,0.7584276043162045
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,0,1,33183,0.889084459495842,0.9272853836802595,189,1890,1890,1.0,0.95183166847457,0.7319179145132096,0.7319179145132104
diffusion_cosine_similarity_useruserCF,ml-100k/u.data,4,0,33200,0.8904207176857246,0.9296442698022359,188,1880,1880,1.0,0.9479587213006514,0.7324583247759263,0.7324583247759254
