Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating,NUsers,NAttempted,NGood,Coverage,nDCG,MAE.ByUser,MAE.ByRating
regular_cosine_similarity_itemitemCF,ml-100k/u.data,1,2080,83,0.9051866682638864,0.9393773908011069,189,1890,1890,1.0,0.9521894971997501,0.7427136169991171,0.7427136169991172
regular_cosine_similarity_itemitemCF,ml-100k/u.data,4,2087,81,0.8685538085704916,0.9077962168537702,188,1880,1880,1.0,0.9512635788668794,0.7138074679230321,0.7138074679230321
regular_cosine_similarity_itemitemCF,ml-100k/u.data,2,2088,82,0.9127870467562705,0.9496193190956089,189,1890,1890,1.0,0.9523247068357016,0.7543028951248015,0.7543028951248019
regular_cosine_similarity_itemitemCF,ml-100k/u.data,0,2091,82,0.8783904134105968,0.919428457099783,189,1890,1890,1.0,0.9539109706468535,0.7253737837444987,0.725373783744498
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,1,32142,100,0.8992710632046789,0.9331507066644021,189,1890,1890,1.0,0.9516000738035938,0.7379542544933599,0.73795425449336
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,0,32150,99,0.8773158900101159,0.9200695269423446,189,1890,1890,1.0,0.9535593314644157,0.7250217046688794,0.725021704668879
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,2,32163,97,0.9107714808906126,0.9480988223819883,189,1890,1890,1.0,0.9539026519021436,0.7522835672288595,0.7522835672288593
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,4,32195,95,0.8649950661214302,0.9026364169499368,188,1880,1880,1.0,0.951768105066048,0.7124244961728885,0.712424496172888
regular_cosine_similarity_itemitemCF,ml-100k/u.data,3,2281,100,0.8755049147393045,0.9117034829145159,188,1880,1880,1.0,0.9566022511803591,0.7166744877383359,0.7166744877383353
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,2,32917,93,0.9295515819362353,0.969452876575432,189,1890,1890,1.0,0.9520821807498218,0.7684406145366366,0.7684406145366369
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,0,32943,95,0.8854227134452994,0.9290186636326834,189,1890,1890,1.0,0.9513616048595871,0.730714188187443,0.7307141881874428
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,4,33049,88,0.8780705489375884,0.9174520235514686,188,1880,1880,1.0,0.9473843469998027,0.7254146872449583,0.7254146872449583
diffusion_norm_cosine_similarityitemitemCF,ml-100k/u.data,3,32443,81,0.8740247151841587,0.9101395214809238,188,1880,1880,1.0,0.9574528951975003,0.7149373170091289,0.7149373170091287
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,1,27916,81,0.9143029735164864,0.9474551409829503,189,1890,1890,1.0,0.9515432724128027,0.7471890390489508,0.7471890390489505
diffusion_cosine_similarityitemitemCF,ml-100k/u.data,3,27550,74,0.8846090301424676,0.9204476591399916,188,1880,1880,1.0,0.9537838382040342,0.7277524434028515,0.727752443402851
